Forecasted_AQI,Lower_Bound,Upper_Bound,Prophet_Forecast,ARIMA_Forecast,Prophet_Lower,Prophet_Upper,ARIMA_Lower,ARIMA_Upper,AQI_Category,Health_Recommendation,Risk_Level,Confidence_Score,Category_Code
58.30016960283187,36.48693987580959,79.36876449634565,60.20967344070933,53.84466064778448,42.1686086094606,77.18697422408877,23.22971283062392,84.45960846494503,Moderate,Unusually sensitive people should consider reducing prolonged outdoor exertion.,2,0.039299327176912646,1
55.06448267054961,33.87518055923368,76.32044995671087,57.44136170498356,49.51843159020373,40.34933555582742,74.62862381820446,18.768818900514937,80.26804427989254,Moderate,Unusually sensitive people should consider reducing prolonged outdoor exertion.,2,0.04907966885379722,1
54.357627118235776,33.06945443177818,76.2701730328689,55.590499359517516,51.48092522191173,38.41469139745232,73.65826907611917,20.597234845205193,82.36461559861827,Moderate,Unusually sensitive people should consider reducing prolonged outdoor exertion.,2,0.032155002876603556,1
47.022376331545054,26.570091024283975,67.71341391164303,44.760696484446235,52.29962930810896,28.83622682816504,61.02624081620872,21.282440815228174,83.31681780098975,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.07824775811581919,0
42.41238700972132,21.363520780455982,63.68746705090216,41.533965431371094,44.46203735920519,24.814205599434104,58.57688785175879,13.311922869507043,75.61215184890334,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.05179772506523672,0
44.46087428800645,23.631065644090953,65.48051235106662,43.068032509772365,47.71083843721933,26.71793830146698,59.689311602570136,16.428362776880228,78.99331409755843,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.06242815075057628,0
47.73677453155592,26.413486809002528,69.13035876442059,46.89189711617208,49.70815516745155,29.89332000295307,63.99089781555007,18.293876023117928,81.12243431178517,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.04299483541997673,0
54.51809907549124,32.76426795695049,76.46192895863324,56.639827136143765,49.56740026730204,39.4841853634383,74.06689571542242,17.084460675145607,82.05033985945848,Moderate,Unusually sensitive people should consider reducing prolonged outdoor exertion.,2,0.021021780285733316,1
51.70583762721009,29.466672873402597,74.10266182771942,53.57287507989237,47.349416904284794,35.79909065966913,71.57188728111822,14.691031372114018,80.00780243645556,Moderate,Unusually sensitive people should consider reducing prolonged outdoor exertion.,2,0.0,1
51.305818223797885,29.46402448807946,73.88689171762543,51.544499557272566,50.74889511235696,34.41317735146432,69.7319357032367,17.916001140181464,83.58178908453246,Moderate,Unusually sensitive people should consider reducing prolonged outdoor exertion.,2,0.004774661204190345,1
44.07869679270079,22.68264691985684,66.24924948027189,40.68890207139799,51.988217809074,24.26875073110696,58.21548600415637,18.981738026939894,84.99469759120811,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.0239579410909041,0
40.66336984823219,18.742382546066676,63.113744139181144,37.53608860207206,47.96035942260585,20.44003136027233,55.38841297070526,14.781201979586825,81.13951686562487,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.005928564985379414,0
42.133025528697985,21.47890325691805,63.74616363668652,39.247292726635386,48.866402066844074,24.034664221629118,55.82994385479677,15.515461005925552,82.2173431277626,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.05306768439638787,0
45.45480484491959,23.793969561589197,67.68726007119882,43.35123889962574,50.36312538393859,26.7736932293592,60.74538448839061,16.841281003459194,83.88496976441797,Good,Air quality is satisfactory. Enjoy outdoor activities!,1,0.016639005029491116,0
